Date,SPY,AAPL,MMM,BA,CAT,CVX,CSCO,KO,DIS,GS,IBM,INTC,JNJ,JPM,MSFT,PFE
2000-02-28,95.9059829711914,2.7085471153259277,25.49803924560547,24.473623275756836,9.168429374694824,16.630659103393555,52.34492874145508,10.898696899414062,25.815702438354492,72.06503295898438,72.21349334716797,37.097415924072266,22.178621292114258,29.867080688476562,33.223819732666016,17.151552200317383
2000-02-29,96.8307113647461,2.741431951522827,26.01427459716797,24.432296752929688,9.039521217346191,16.658540725708008,52.99641418457031,10.746753692626953,26.801034927368164,75.75016784667969,71.00418090820312,37.303733825683594,21.94997215270996,30.513776779174805,32.430076599121094,17.11824607849121
2000-03-01,97.53527069091797,3.11662220954895,25.40584945678711,24.018877029418945,8.991181373596191,16.78400230407715,52.795955657958984,11.271659851074219,27.342973709106445,77.59271240234375,69.27660369873047,38.25285339355469,22.369152069091797,31.423912048339844,32.95169448852539,16.985034942626953
2000-03-02,97.60130310058594,2.917815923690796,25.387422561645508,23.77083396911621,8.878388404846191,16.881576538085938,53.22193908691406,10.967766761779785,27.195175170898438,78.82108306884766,71.26333618164062,38.211578369140625,22.464427947998047,30.873035430908203,33.881492614746094,17.051639556884766
2000-03-03,99.4286880493164,3.0613155364990234,26.401432037353516,23.77083396911621,9.377902030944824,16.630659103393555,55.10124969482422,11.078275680541992,28.771703720092773,83.93937683105469,74.63211822509766,39.36701583862305,22.40726089477539,31.088581085205078,34.87936019897461,17.38467788696289
2000-03-06,98.45996856689453,3.0060081481933594,25.737730026245117,23.23341178894043,9.45846176147461,16.505199432373047,54.575035095214844,10.829633712768555,28.3775691986084,84.91182708740234,71.22013092041016,38.7480354309082,21.49268341064453,31.974781036376953,32.883644104003906,16.885122299194336
2000-03-07,96.55541229248047,2.9387433528900146,24.41026496887207,22.985366821289062,8.717260360717773,18.066503524780273,52.9463005065918,10.415237426757812,28.3775691986084,85.88432312011719,71.17691802978516,38.211578369140625,20.882957458496094,31.352060317993164,33.7000846862793,15.985915184020996
2000-03-08,96.43437194824219,2.917815923690796,24.354957580566406,22.07588005065918,9.007292747497559,18.080440521240234,53.071590423583984,10.498116493225098,27.5400390625,83.32515716552734,73.42277526855469,37.94334411621094,21.645112991333008,30.274259567260742,34.67525100708008,17.284765243530273
2000-03-09,99.25257110595703,2.923795700073242,23.875606536865234,22.32391929626465,9.087862014770508,18.568349838256836,55.852962493896484,10.332355499267578,28.57463836669922,87.7780532836914,74.63211822509766,39.07814025878906,22.159564971923828,31.088581085205078,36.28541564941406,18.31719207763672
2000-03-10,98.72416687011719,3.007502317428589,24.041534423828125,21.414417266845703,9.200654029846191,17.927099227905273,54.67525863647461,10.056089401245117,27.687837600708008,91.92384338378906,72.73176574707031,39.67649459838867,21.607004165649414,30.154495239257812,36.64826202392578,18.650232315063477
2000-03-13,97.64530944824219,2.901374101638794,23.304075241088867,21.57978630065918,9.184541702270508,17.80164337158203,54.60008239746094,9.742115020751953,27.5400390625,90.38834381103516,74.41615295410156,40.316104888916016,21.34025001525879,30.68141746520996,35.559696197509766,18.283891677856445
2000-03-14,96.25824737548828,2.7324635982513428,23.3409423828125,21.86917495727539,9.232880592346191,18.484703063964844,52.821022033691406,9.644694328308105,26.899572372436523,85.78192138671875,75.06403350830078,38.913089752197266,22.178621292114258,30.274259567260742,34.51649856567383,17.71771812438965
2000-03-15,98.50396728515625,2.780297040939331,24.33652114868164,23.068052291870117,9.861294746398926,18.721689224243164,51.568145751953125,10.591073036193848,27.441505432128906,84.80947875976562,73.94108581542969,39.67649459838867,23.455224990844727,31.855018615722656,34.60721206665039,18.783445358276367
2000-03-16,103.10551452636719,2.907353162765503,25.97739601135254,23.564132690429688,10.489712715148926,18.76350975036621,52.78965759277344,11.078174591064453,27.83563804626465,84.60475158691406,75.32315826416016,41.28583908081055,24.33169937133789,34.537567138671875,34.60721206665039,19.44953155517578
2000-03-17,103.78695678710938,2.9895663261413574,25.33210563659668,25.13507843017578,10.21578598022461,18.582290649414062,54.124000549316406,10.939009666442871,29.01803970336914,95.40422821044922,76.01421356201172,42.87455749511719,24.255481719970703,34.87287521362305,36.058631896972656,19.08318519592285
2000-03-20,103.25724029541016,2.941732406616211,25.663972854614258,24.473623275756836,9.925749778747559,18.49864387512207,53.773197174072266,10.81374454498291,31.08724021911621,92.89632415771484,77.91455841064453,44.566410064697266,24.179271697998047,33.17234802246094,35.332908630371094,18.650232315063477
2000-03-21,105.37621307373047,3.2272372245788574,26.67799186706543,24.18424415588379,10.264124870300293,19.181726455688477,56.47309494018555,11.008588790893555,30.890172958374023,96.83734893798828,78.4328384399414,45.701202392578125,24.465068817138672,35.2560920715332,37.28325271606445,19.5494441986084
2000-03-22,106.01631927490234,3.448465585708618,25.368986129760742,23.97754669189453,10.038546562194824,18.73563575744629,57.88260269165039,10.479729652404785,31.92477035522461,95.94161224365234,78.95111083984375,47.558143615722656,25.074798583984375,35.088443756103516,37.46467971801758,18.983272552490234
2000-03-23,107.82628631591797,3.3797049522399902,25.663972854614258,23.23341178894043,10.199677467346191,18.875038146972656,62.392948150634766,10.465815544128418,32.76230239868164,97.45155334472656,79.6421890258789,47.083595275878906,24.388851165771484,37.747013092041016,40.59428787231445,18.783445358276367
2000-03-24,108.46638488769531,3.316923141479492,26.807050704956055,23.812177658081055,10.183563232421875,19.098079681396484,63.645809173583984,10.465815544128418,32.663761138916016,99.34529876708984,83.35649871826172,45.90753936767578,22.02618980407715,36.8608283996582,40.52627182006836,18.5836238861084
2000-03-27,107.31864166259766,3.337851047515869,26.143329620361328,24.556324005126953,10.07076644897461,18.861095428466797,64.19707489013672,10.076126098632812,32.91010284423828,91.7191162109375,87.67546844482422,47.10422897338867,21.264026641845703,36.2859992980957,37.7595100402832,18.51702117919922
2000-03-28,106.7005615234375,3.3273870944976807,26.217073440551758,25.13507843017578,9.877405166625977,18.930795669555664,62.44306564331055,9.992627143859863,32.26963806152344,92.74276733398438,84.6521987915039,44.79338073730469,21.94997215270996,36.118324279785156,37.85021209716797,18.683542251586914
2000-03-29,106.81094360351562,3.2511532306671143,25.848337173461914,25.052398681640625,10.054656028747559,19.73933219909668,60.98971939086914,10.437978744506836,32.17110061645508,93.51049041748047,82.23355102539062,43.5347785949707,21.664165496826172,34.633358001708984,38.893428802490234,19.382917404174805
