Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
_MIWD00D,MSCI AC World Price Index,Stock Indices - Composites,United States Dollar,World,,,,,,,Index Number ,Units,Stock,none,Daily From Dec 1987 To Nov 2018<BR>,,
Date,Ticker,Open,High,Low,Close,Volume,Openint
06/12/2001,_MIWD00D,264.056,264.056,264.056,264.056,0,
06/13/2001,_MIWD00D,263.403,263.403,263.403,263.403,0,
06/14/2001,_MIWD00D,260.729,260.729,260.729,260.729,0,
06/15/2001,_MIWD00D,259.147,259.147,259.147,259.147,0,
06/18/2001,_MIWD00D,257.178,257.178,257.178,257.178,0,
06/19/2001,_MIWD00D,257.47,257.47,257.47,257.47,0,
06/20/2001,_MIWD00D,257.996,257.996,257.996,257.996,0,
06/21/2001,_MIWD00D,260.081,260.081,260.081,260.081,0,
06/22/2001,_MIWD00D,259.428,259.428,259.428,259.428,0,
06/25/2001,_MIWD00D,258.906,258.906,258.906,258.906,0,
06/26/2001,_MIWD00D,257.413,257.413,257.413,257.413,0,
06/27/2001,_MIWD00D,256.484,256.484,256.484,256.484,0,
06/28/2001,_MIWD00D,257.811,257.811,257.811,257.811,0,
06/29/2001,_MIWD00D,258.844,258.844,258.844,258.844,0,
07/02/2001,_MIWD00D,261.275,261.275,261.275,261.275,0,
07/03/2001,_MIWD00D,260.081,260.081,260.081,260.081,0,
07/04/2001,_MIWD00D,259.138,259.138,259.138,259.138,0,
07/05/2001,_MIWD00D,255.619,255.619,255.619,255.619,0,
07/06/2001,_MIWD00D,250.667,250.667,250.667,250.667,0,
07/09/2001,_MIWD00D,251.789,251.789,251.789,251.789,0,
07/10/2001,_MIWD00D,250.275,250.275,250.275,250.275,0,
07/11/2001,_MIWD00D,249.087,249.087,249.087,249.087,0,
07/12/2001,_MIWD00D,253.017,253.017,253.017,253.017,0,
07/13/2001,_MIWD00D,253.924,253.924,253.924,253.924,0,
07/16/2001,_MIWD00D,252.316,252.316,252.316,252.316,0,
07/17/2001,_MIWD00D,252.388,252.388,252.388,252.388,0,
07/18/2001,_MIWD00D,251.901,251.901,251.901,251.901,0,
07/19/2001,_MIWD00D,253.78,253.78,253.78,253.78,0,
07/20/2001,_MIWD00D,252.972,252.972,252.972,252.972,0,
07/23/2001,_MIWD00D,249.798,249.798,249.798,249.798,0,
07/24/2001,_MIWD00D,247.377,247.377,247.377,247.377,0,
07/25/2001,_MIWD00D,249.063,249.063,249.063,249.063,0,
07/26/2001,_MIWD00D,250.679,250.679,250.679,250.679,0,
07/27/2001,_MIWD00D,251.953,251.953,251.953,251.953,0,
07/30/2001,_MIWD00D,252.355,252.355,252.355,252.355,0,
07/31/2001,_MIWD00D,254.542,254.542,254.542,254.542,0,
08/01/2001,_MIWD00D,255.973,255.973,255.973,255.973,0,
08/02/2001,_MIWD00D,257.77,257.77,257.77,257.77,0,
08/03/2001,_MIWD00D,256.375,256.375,256.375,256.375,0,
08/06/2001,_MIWD00D,254.301,254.301,254.301,254.301,0,
08/07/2001,_MIWD00D,254.765,254.765,254.765,254.765,0,
08/08/2001,_MIWD00D,251.409,251.409,251.409,251.409,0,
08/09/2001,_MIWD00D,250.097,250.097,250.097,250.097,0,
08/10/2001,_MIWD00D,250.973,250.973,250.973,250.973,0,
08/13/2001,_MIWD00D,251.21,251.21,251.21,251.21,0,
08/14/2001,_MIWD00D,252.37,252.37,252.37,252.37,0,
08/15/2001,_MIWD00D,252.31,252.31,252.31,252.31,0,
08/16/2001,_MIWD00D,251.542,251.542,251.542,251.542,0,
08/17/2001,_MIWD00D,248.106,248.106,248.106,248.106,0,
08/20/2001,_MIWD00D,248.272,248.272,248.272,248.272,0,
08/21/2001,_MIWD00D,247.773,247.773,247.773,247.773,0,
08/22/2001,_MIWD00D,249.328,249.328,249.328,249.328,0,
08/23/2001,_MIWD00D,248.142,248.142,248.142,248.142,0,
08/24/2001,_MIWD00D,251.769,251.769,251.769,251.769,0,
08/27/2001,_MIWD00D,251.324,251.324,251.324,251.324,0,
08/28/2001,_MIWD00D,248.228,248.228,248.228,248.228,0,
08/29/2001,_MIWD00D,246.294,246.294,246.294,246.294,0,
08/30/2001,_MIWD00D,242.011,242.011,242.011,242.011,0,
08/31/2001,_MIWD00D,242.414,242.414,242.414,242.414,0,
09/03/2001,_MIWD00D,240.763,240.763,240.763,240.763,0,
09/04/2001,_MIWD00D,241.409,241.409,241.409,241.409,0,
09/05/2001,_MIWD00D,239.578,239.578,239.578,239.578,0,
09/06/2001,_MIWD00D,235.077,235.077,235.077,235.077,0,
09/07/2001,_MIWD00D,231.826,231.826,231.826,231.826,0,
09/10/2001,_MIWD00D,230.967,230.967,230.967,230.967,0,
09/11/2001,_MIWD00D,227.287,227.287,227.287,227.287,0,
09/12/2001,_MIWD00D,226,226,226,226,0,
09/13/2001,_MIWD00D,227.058,227.058,227.058,227.058,0,
09/14/2001,_MIWD00D,224.948,224.948,224.948,224.948,0,
09/17/2001,_MIWD00D,219.041,219.041,219.041,219.041,0,
09/18/2001,_MIWD00D,218.198,218.198,218.198,218.198,0,
09/19/2001,_MIWD00D,216.139,216.139,216.139,216.139,0,
09/20/2001,_MIWD00D,209.457,209.457,209.457,209.457,0,
09/21/2001,_MIWD00D,204.006,204.006,204.006,204.006,0,
09/24/2001,_MIWD00D,211.383,211.383,211.383,211.383,0,
09/25/2001,_MIWD00D,213.717,213.717,213.717,213.717,0,
09/26/2001,_MIWD00D,213.594,213.594,213.594,213.594,0,
09/27/2001,_MIWD00D,215.388,215.388,215.388,215.388,0,
09/28/2001,_MIWD00D,219.961,219.961,219.961,219.961,0,
10/01/2001,_MIWD00D,219,219,219,219,0,
10/02/2001,_MIWD00D,221.261,221.261,221.261,221.261,0,
10/03/2001,_MIWD00D,223.533,223.533,223.533,223.533,0,
10/04/2001,_MIWD00D,225.721,225.721,225.721,225.721,0,
10/05/2001,_MIWD00D,226.016,226.016,226.016,226.016,0,
10/08/2001,_MIWD00D,224.919,224.919,224.919,224.919,0,
10/09/2001,_MIWD00D,223.648,223.648,223.648,223.648,0,
10/10/2001,_MIWD00D,227.267,227.267,227.267,227.267,0,
10/11/2001,_MIWD00D,230.217,230.217,230.217,230.217,0,
10/12/2001,_MIWD00D,229.945,229.945,229.945,229.945,0,
10/15/2001,_MIWD00D,228.274,228.274,228.274,228.274,0,
10/16/2001,_MIWD00D,230.022,230.022,230.022,230.022,0,
10/17/2001,_MIWD00D,229.459,229.459,229.459,229.459,0,
10/18/2001,_MIWD00D,226.593,226.593,226.593,226.593,0,
10/19/2001,_MIWD00D,225.739,225.739,225.739,225.739,0,
10/22/2001,_MIWD00D,228.117,228.117,228.117,228.117,0,
10/23/2001,_MIWD00D,229.362,229.362,229.362,229.362,0,
10/24/2001,_MIWD00D,229.934,229.934,229.934,229.934,0,
10/25/2001,_MIWD00D,230.652,230.652,230.652,230.652,0,
10/26/2001,_MIWD00D,232.195,232.195,232.195,232.195,0,
10/29/2001,_MIWD00D,228.239,228.239,228.239,228.239,0,
10/30/2001,_MIWD00D,224.425,224.425,224.425,224.425,0,
10/31/2001,_MIWD00D,224.482,224.482,224.482,224.482,0,
11/01/2001,_MIWD00D,228.184,228.184,228.184,228.184,0,
11/02/2001,_MIWD00D,228.591,228.591,228.591,228.591,0,
11/05/2001,_MIWD00D,231.59,231.59,231.59,231.59,0,
11/06/2001,_MIWD00D,233.868,233.868,233.868,233.868,0,
11/07/2001,_MIWD00D,233.52,233.52,233.52,233.52,0,
11/08/2001,_MIWD00D,235.285,235.285,235.285,235.285,0,
11/09/2001,_MIWD00D,234.785,234.785,234.785,234.785,0,
11/12/2001,_MIWD00D,232.844,232.844,232.844,232.844,0,
11/13/2001,_MIWD00D,236.071,236.071,236.071,236.071,0,
11/14/2001,_MIWD00D,236.823,236.823,236.823,236.823,0,
11/15/2001,_MIWD00D,237.669,237.669,237.669,237.669,0,
11/16/2001,_MIWD00D,238.119,238.119,238.119,238.119,0,
11/19/2001,_MIWD00D,240.38,240.38,240.38,240.38,0,
11/20/2001,_MIWD00D,238.668,238.668,238.668,238.668,0,
11/21/2001,_MIWD00D,237.403,237.403,237.403,237.403,0,
11/22/2001,_MIWD00D,238.197,238.197,238.197,238.197,0,
11/23/2001,_MIWD00D,239.167,239.167,239.167,239.167,0,
11/26/2001,_MIWD00D,240.756,240.756,240.756,240.756,0,
11/27/2001,_MIWD00D,239.167,239.167,239.167,239.167,0,
11/28/2001,_MIWD00D,235.603,235.603,235.603,235.603,0,
11/29/2001,_MIWD00D,236.767,236.767,236.767,236.767,0,
