Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History,Data Notes
CMBEBWHT,Brugges Wheat Price,Commodity Prices,Belgium Franc (Euro from 01/01/1999),Belgium,,,,,,,National Currency,Units,Stock,none,Quarterly From Nov 1348 To May 1801<BR>,,,Currency converted to USD using Belgium Franc per US Dollar (USDBEF)
Date,Ticker,Open,High,Low,Close,Volume,Openint
02/02/1425,CMBEBWHT,,,,64,,
05/15/1425,CMBEBWHT,,,,58,,
11/11/1425,CMBEBWHT,,,,56,,
02/02/1426,CMBEBWHT,,,,52,,
11/11/1426,CMBEBWHT,,,,54,,
02/02/1427,CMBEBWHT,,,,56,,
05/15/1427,CMBEBWHT,,,,66,,
11/11/1427,CMBEBWHT,,,,60,,
02/02/1428,CMBEBWHT,,,,48,,
05/15/1428,CMBEBWHT,,,,44,,
11/11/1428,CMBEBWHT,,,,58,,
02/02/1429,CMBEBWHT,,,,50,,
05/15/1429,CMBEBWHT,,,,60,,
11/11/1429,CMBEBWHT,,,,60,,
02/02/1430,CMBEBWHT,,,,56,,
11/11/1430,CMBEBWHT,,,,64,,
02/02/1431,CMBEBWHT,,,,80,,
05/15/1431,CMBEBWHT,,,,84,,
11/11/1431,CMBEBWHT,,,,56,,
02/02/1432,CMBEBWHT,,,,54,,
05/15/1432,CMBEBWHT,,,,62,,
11/11/1432,CMBEBWHT,,,,80,,
02/02/1433,CMBEBWHT,,,,102,,
05/15/1433,CMBEBWHT,,,,90,,
11/11/1433,CMBEBWHT,,,,65,,
02/02/1434,CMBEBWHT,,,,56,,
05/15/1434,CMBEBWHT,,,,46,,
11/11/1434,CMBEBWHT,,,,48,,
02/02/1435,CMBEBWHT,,,,44,,
05/15/1435,CMBEBWHT,,,,42,,
11/11/1435,CMBEBWHT,,,,42,,
02/02/1436,CMBEBWHT,,,,44,,
05/15/1436,CMBEBWHT,,,,42,,
11/11/1436,CMBEBWHT,,,,46,,
02/02/1437,CMBEBWHT,,,,52,,
05/15/1437,CMBEBWHT,,,,74,,
11/11/1437,CMBEBWHT,,,,120,,
02/02/1438,CMBEBWHT,,,,120,,
05/15/1438,CMBEBWHT,,,,120,,
11/11/1438,CMBEBWHT,,,,168,,
02/02/1439,CMBEBWHT,,,,144,,
05/15/1439,CMBEBWHT,,,,108,,
11/11/1439,CMBEBWHT,,,,72,,
02/02/1440,CMBEBWHT,,,,68,,
05/15/1440,CMBEBWHT,,,,68,,
11/11/1440,CMBEBWHT,,,,68,,
02/02/1441,CMBEBWHT,,,,58,,
05/15/1441,CMBEBWHT,,,,58,,
11/11/1441,CMBEBWHT,,,,62,,
02/02/1442,CMBEBWHT,,,,62,,
05/15/1442,CMBEBWHT,,,,62,,
11/11/1442,CMBEBWHT,,,,60,,
02/02/1443,CMBEBWHT,,,,62,,
05/15/1443,CMBEBWHT,,,,84,,
11/11/1443,CMBEBWHT,,,,50,,
02/02/1444,CMBEBWHT,,,,52,,
05/15/1444,CMBEBWHT,,,,42,,
11/11/1444,CMBEBWHT,,,,48,,
02/02/1445,CMBEBWHT,,,,44,,
05/15/1445,CMBEBWHT,,,,44,,
11/11/1445,CMBEBWHT,,,,46,,
02/02/1446,CMBEBWHT,,,,54,,
05/15/1446,CMBEBWHT,,,,49,,
11/11/1446,CMBEBWHT,,,,72,,
02/02/1447,CMBEBWHT,,,,66,,
05/15/1447,CMBEBWHT,,,,64,,
11/11/1447,CMBEBWHT,,,,48,,
02/02/1448,CMBEBWHT,,,,48,,
05/15/1448,CMBEBWHT,,,,42,,
11/11/1448,CMBEBWHT,,,,36,,
02/02/1449,CMBEBWHT,,,,36,,
05/15/1449,CMBEBWHT,,,,38,,
11/11/1449,CMBEBWHT,,,,48,,
02/02/1450,CMBEBWHT,,,,52,,
05/15/1450,CMBEBWHT,,,,48,,
11/11/1450,CMBEBWHT,,,,40,,
02/02/1451,CMBEBWHT,,,,46,,
05/15/1451,CMBEBWHT,,,,42,,
11/11/1451,CMBEBWHT,,,,42,,
02/02/1452,CMBEBWHT,,,,42,,
05/15/1452,CMBEBWHT,,,,44,,
11/11/1452,CMBEBWHT,,,,48,,
02/02/1453,CMBEBWHT,,,,48,,
05/15/1453,CMBEBWHT,,,,48,,
11/11/1453,CMBEBWHT,,,,46,,
02/02/1454,CMBEBWHT,,,,43,,
05/15/1454,CMBEBWHT,,,,42,,
11/11/1454,CMBEBWHT,,,,46,,
02/02/1455,CMBEBWHT,,,,48,,
05/15/1455,CMBEBWHT,,,,44,,
11/11/1455,CMBEBWHT,,,,84,,
02/02/1456,CMBEBWHT,,,,78,,
05/15/1456,CMBEBWHT,,,,82,,
11/11/1456,CMBEBWHT,,,,82,,
02/02/1457,CMBEBWHT,,,,82,,
05/15/1457,CMBEBWHT,,,,76,,
11/11/1457,CMBEBWHT,,,,80,,
02/02/1458,CMBEBWHT,,,,80,,
11/11/1458,CMBEBWHT,,,,48,,
05/15/1459,CMBEBWHT,,,,48,,
11/11/1459,CMBEBWHT,,,,60,,
02/02/1460,CMBEBWHT,,,,66,,
05/15/1460,CMBEBWHT,,,,86,,
11/11/1460,CMBEBWHT,,,,62,,
02/02/1461,CMBEBWHT,,,,62,,
05/15/1461,CMBEBWHT,,,,54,,
11/11/1461,CMBEBWHT,,,,48,,
02/02/1462,CMBEBWHT,,,,48,,
05/15/1462,CMBEBWHT,,,,44,,
11/11/1462,CMBEBWHT,,,,36,,
02/02/1463,CMBEBWHT,,,,34,,
05/15/1463,CMBEBWHT,,,,34,,
11/11/1463,CMBEBWHT,,,,30,,
02/02/1464,CMBEBWHT,,,,28,,
05/15/1464,CMBEBWHT,,,,23,,
11/11/1464,CMBEBWHT,,,,29,,
02/02/1465,CMBEBWHT,,,,32,,
05/15/1465,CMBEBWHT,,,,32,,
11/11/1465,CMBEBWHT,,,,42,,
02/02/1466,CMBEBWHT,,,,46,,
05/15/1466,CMBEBWHT,,,,42,,
11/11/1466,CMBEBWHT,,,,44,,
02/02/1467,CMBEBWHT,,,,48,,
05/15/1467,CMBEBWHT,,,,50,,
11/11/1467,CMBEBWHT,,,,50,,
02/02/1468,CMBEBWHT,,,,48,,
11/11/1468,CMBEBWHT,,,,54,,
02/02/1469,CMBEBWHT,,,,53,,
05/15/1469,CMBEBWHT,,,,46,,
11/11/1469,CMBEBWHT,,,,48,,
02/02/1470,CMBEBWHT,,,,45,,
11/11/1470,CMBEBWHT,,,,44,,
02/02/1471,CMBEBWHT,,,,52,,
05/15/1471,CMBEBWHT,,,,44,,
11/11/1471,CMBEBWHT,,,,42,,
02/02/1472,CMBEBWHT,,,,42,,
05/15/1472,CMBEBWHT,,,,42,,
05/15/1473,CMBEBWHT,,,,40,,
11/11/1473,CMBEBWHT,,,,54,,
02/02/1474,CMBEBWHT,,,,52,,
05/15/1474,CMBEBWHT,,,,50,,
11/11/1474,CMBEBWHT,,,,54,,
02/02/1475,CMBEBWHT,,,,60,,
05/15/1475,CMBEBWHT,,,,54,,
11/11/1475,CMBEBWHT,,,,48,,
02/02/1476,CMBEBWHT,,,,46,,
05/15/1476,CMBEBWHT,,,,48,,
11/11/1476,CMBEBWHT,,,,42,,
02/02/1477,CMBEBWHT,,,,48,,
05/15/1477,CMBEBWHT,,,,50,,
11/11/1477,CMBEBWHT,,,,90,,
02/02/1478,CMBEBWHT,,,,80,,
05/15/1478,CMBEBWHT,,,,74,,
11/11/1478,CMBEBWHT,,,,78,,
02/02/1480,CMBEBWHT,,,,72,,
